Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Brunswick,270 Albion St,3,h,880000.0,S,Nelson,24/09/2016,5.2,3056.0,3.0,1.0,1.0,264.0,117.0,1915.0,Moreland,-37.7603,144.9573,Northern Metropolitan,11918.0
Ascot Vale,1/17 Epsom Rd,2,u,685000.0,S,Brad,7/11/2016,5.9,3032.0,2.0,1.0,2.0,228.0,90.0,1995.0,Moonee Valley,-37.7718,144.9066,Western Metropolitan,6567.0
Avondale Heights,2 Drake Ct,3,h,875000.0,S,Edward,25/02/2017,10.5,3034.0,3.0,1.0,3.0,812.0,117.0,1960.0,Moonee Valley,-37.765,144.8578,Western Metropolitan,4502.0
Ashwood,2/6 Murra Ct,2,u,700000.0,S,hockingstuart,22/08/2016,12.2,3147.0,2.0,1.0,2.0,192.0,88.0,2007.0,Monash,-37.8709,145.102,Southern Metropolitan,2894.0
Brighton East,5 Margaret St,2,h,1780000.0,SP,Buxton,7/05/2016,10.7,3187.0,4.0,3.0,2.0,635.0,119.0,1935.0,Bayside,-37.9205,145.0102,Southern Metropolitan,6938.0
Carnegie,2/79 Mimosa Rd,2,t,855000.0,S,Gary,16/04/2016,11.4,3163.0,2.0,1.0,1.0,158.0,106.0,1994.0,Glen Eira,-37.8886,145.05200000000005,Southern Metropolitan,7822.0
Balaclava,3/33 Gourlay St,2,u,540000.0,VB,McGrath,27/06/2016,6.6,3183.0,2.0,1.0,1.0,483.0,51.0,1970.0,Port Phillip,-37.8727,144.9969,Southern Metropolitan,2952.0
Canterbury,47 Warburton Rd,3,h,1680000.0,S,Fletchers,17/09/2016,9.0,3126.0,3.0,2.0,1.0,325.0,197.0,1910.0,Boroondara,-37.826,145.0729,Southern Metropolitan,3265.0
Altona,4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301.0
Bentleigh,5 Luckins Rd,3,h,1165000.0,PI,Buxton,18/06/2016,13.0,3204.0,3.0,1.0,2.0,694.0,125.0,1950.0,Glen Eira,-37.9315,145.0445,Southern Metropolitan,6795.0
Box Hill,837 Canterbury Rd,3,h,857000.0,S,Fletchers,28/05/2016,13.1,3128.0,4.0,1.0,1.0,492.0,119.0,1930.0,Whitehorse,-37.8283,145.1195,Eastern Metropolitan,4605.0
Canterbury,42 Warburton Rd,3,h,2200000.0,VB,Noel,7/05/2016,9.0,3126.0,3.0,3.0,2.0,468.0,148.0,1890.0,Boroondara,-37.8264,145.0741,Southern Metropolitan,3265.0
Burwood,55 Parer St,4,t,900000.0,VB,Noel,22/05/2016,11.7,3125.0,4.0,3.0,2.0,381.0,176.0,2013.0,Whitehorse,-37.8459,145.1041,Southern Metropolitan,5678.0
Balwyn North,19 Jacka St,4,h,3230000.0,S,Jellis,3/09/2016,9.2,3104.0,4.0,4.0,3.0,1135.0,275.0,1960.0,Boroondara,-37.8014,145.0892,Southern Metropolitan,7809.0
Ascot Vale,10 McCully St,3,h,1377000.0,S,Nelson,6/08/2016,5.9,3032.0,3.0,1.0,1.0,417.0,168.0,1900.0,Moonee Valley,-37.7756,144.9208,Western Metropolitan,6567.0
Bentleigh East,2/15 Liverpool St,3,t,805000.0,S,hockingstuart,14/05/2016,13.9,3165.0,3.0,2.0,1.0,268.0,117.0,2000.0,Glen Eira,-37.9196,145.0691,Southern Metropolitan,10969.0
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0
Bentleigh East,3 Molden St,5,h,1550000.0,S,Hodges,18/06/2016,13.9,3165.0,5.0,3.0,2.0,623.0,257.0,1950.0,Glen Eira,-37.9066,145.0541,Southern Metropolitan,10969.0
Camberwell,4/2 Callanish Rd,2,u,729000.0,S,Noel,3/12/2016,7.8,3124.0,2.0,1.0,1.0,137.0,87.0,1970.0,Boroondara,-37.8459,145.088,Southern Metropolitan,8920.0
Caulfield South,1/2 Griffiths St,4,t,1030000.0,VB,Gary,10/12/2016,9.3,3162.0,4.0,2.0,2.0,216.0,165.0,1995.0,Glen Eira,-37.8887,145.0318,Southern Metropolitan,5051.0
Altona North,3/66 Marion St,2,t,421000.0,S,hockingstuart,4/03/2017,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,5132.0
Bulleen,130 Manningham Rd,3,h,880000.0,PI,Barry,4/06/2016,11.8,3105.0,3.0,2.0,2.0,514.0,190.0,1960.0,Manningham,-37.7683,145.0959,Eastern Metropolitan,4480.0
Bulleen,6a Tobruk St,3,t,975000.0,PI,Fletchers,4/06/2016,11.8,3105.0,3.0,2.0,2.0,632.0,226.0,2013.0,Manningham,-37.7813,145.102,Eastern Metropolitan,4480.0
Bentleigh,1a Werona St,2,t,670000.0,PI,Buxton,26/07/2016,13.0,3204.0,2.0,2.0,1.0,123.0,90.0,2007.0,Glen Eira,-37.9307,145.0379,Southern Metropolitan,6795.0
Bulleen,23 Bourke St,4,h,1302000.0,SP,Barry,15/10/2016,11.8,3105.0,4.0,2.0,2.0,475.0,245.0,1996.0,Manningham,-37.765,145.0933,Eastern Metropolitan,4480.0
Brighton,82 New St,5,h,3700000.0,VB,Kay,18/06/2016,11.2,3186.0,4.0,3.0,4.0,1572.0,305.0,1890.0,Bayside,-37.9233,144.9944,Southern Metropolitan,10579.0
Balwyn,29 Bevan St,4,h,2188000.0,S,Marshall,19/11/2016,9.7,3103.0,4.0,2.0,2.0,752.0,253.0,1981.0,Boroondara,-37.8149,145.0747,Southern Metropolitan,5682.0
Armadale,12 Willis St,3,h,2050000.0,S,Marshall,4/03/2017,6.3,3143.0,3.0,2.0,1.0,205.0,116.0,1910.0,Stonnington,-37.8574,145.0281,Southern Metropolitan,4836.0
Bentleigh East,123 MacKie Rd,3,h,1161000.0,S,hockingstuart,24/09/2016,13.9,3165.0,3.0,2.0,3.0,629.0,168.0,1950.0,Glen Eira,-37.912,145.0752,Southern Metropolitan,10969.0
Brunswick,16 Thistle St,3,t,940000.0,S,Ray,8/10/2016,5.2,3056.0,3.0,2.0,1.0,186.0,140.0,2016.0,Moreland,-37.7581,144.9514,Northern Metropolitan,11918.0
Balwyn North,36 Kenny St,3,h,2251000.0,S,Marshall,3/12/2016,9.2,3104.0,3.0,1.0,2.0,888.0,137.0,1950.0,Boroondara,-37.8002,145.0949,Southern Metropolitan,7809.0
Carlton North,1 Fletcher La,2,h,800000.0,PI,Nelson,10/12/2016,3.2,3054.0,2.0,1.0,1.0,73.0,104.0,2009.0,Yarra,-37.7852,144.9719,Northern Metropolitan,3106.0
Armadale,28 Cambridge St,3,h,1870000.0,S,Hodges,4/03/2017,6.3,3143.0,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington,-37.8592,145.0182,Southern Metropolitan,4836.0
Ascot Vale,21A Geddes St,3,h,1037500.0,S,Alexkarbon,19/11/2016,5.9,3032.0,3.0,1.0,2.0,506.0,110.0,1920.0,Moonee Valley,-37.7779,144.9133,Western Metropolitan,6567.0
Brighton East,2/21 Hodder St,4,t,1367000.0,S,McGrath,26/07/2016,10.7,3187.0,4.0,2.0,2.0,315.0,4.0,2000.0,Bayside,-37.9078,145.0222,Southern Metropolitan,6938.0
Chadstone,5 Bullarto St,2,h,1002000.0,S,Ray,13/08/2016,13.6,3148.0,2.0,1.0,1.0,585.0,97.0,1950.0,Monash,-37.8792,145.0948,Southern Metropolitan,3582.0
Brunswick,10/285 Brunswick Rd,1,u,370000.0,S,Jellis,26/07/2016,5.2,3056.0,1.0,1.0,1.0,540.0,45.0,1970.0,Moreland,-37.7766,144.9574,Northern Metropolitan,11918.0
Brunswick,11 Denman St,4,h,1410000.0,PI,Jellis,28/05/2016,5.2,3056.0,4.0,2.0,1.0,460.0,214.0,1916.0,Moreland,-37.7554,144.9544,Northern Metropolitan,11918.0
Avondale Heights,1/24 Bordeaux St,2,h,522500.0,S,Nelson,24/09/2016,10.5,3034.0,2.0,1.0,1.0,220.0,101.0,1995.0,Moonee Valley,-37.756,144.8641,Western Metropolitan,4502.0
Brunswick,154 Brunswick Rd,3,h,1050000.0,SP,Nelson,17/09/2016,5.2,3056.0,3.0,1.0,1.0,239.0,126.0,1910.0,Moreland,-37.7776,144.963,Northern Metropolitan,11918.0
Balwyn,1/18 Belmore Rd,3,h,905000.0,S,Kay,10/12/2016,9.7,3103.0,3.0,1.0,2.0,281.0,150.0,1995.0,Boroondara,-37.8013,145.0652,Southern Metropolitan,5682.0
Brunswick,3/5 Evans St,3,u,880000.0,S,Dingle,10/12/2016,5.2,3056.0,3.0,2.0,1.0,122.0,152.0,2000.0,Moreland,-37.7697,144.9649,Northern Metropolitan,11918.0
Coburg,32A Kelson St,3,h,1025000.0,VB,Jellis,25/02/2017,7.8,3058.0,3.0,1.0,3.0,336.0,112.0,1950.0,Moreland,-37.7408,144.9558,Northern Metropolitan,11204.0
Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,12/06/2016,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211.0
Bentleigh East,3 Veronica St,3,h,1390000.0,S,Buxton,7/05/2016,13.9,3165.0,4.0,2.0,2.0,590.0,118.0,1960.0,Glen Eira,-37.9256,145.0757,Southern Metropolitan,10969.0
Burwood,7 Wattlebird Ct,4,h,2000000.0,S,Fletchers,7/05/2016,11.7,3125.0,4.0,3.0,2.0,928.0,229.0,1996.0,Whitehorse,-37.842,145.102,Southern Metropolitan,5678.0
Braybrook,1/3 Vine St,3,t,502000.0,SP,Sweeney,4/03/2017,10.8,3019.0,3.0,1.0,1.0,220.0,106.0,2011.0,Maribyrnong,-37.785,144.8561,Western Metropolitan,3589.0
Bentleigh,22 Hutchinson St,5,h,1385000.0,S,Buxton,28/08/2016,13.0,3204.0,5.0,2.0,2.0,664.0,178.0,1950.0,Glen Eira,-37.9241,145.048,Southern Metropolitan,6795.0
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0
Balwyn North,9 Stephens St,5,h,4000000.0,PI,Marshall,18/06/2016,9.2,3104.0,5.0,5.0,4.0,1364.0,518.0,2013.0,Boroondara,-37.7961,145.0859,Southern Metropolitan,7809.0
Bentleigh,40 Coates St,2,t,680000.0,PI,Bayside,27/11/2016,13.0,3204.0,2.0,1.0,1.0,83.0,107.0,1998.0,Glen Eira,-37.9259,145.0341,Southern Metropolitan,6795.0
Coburg,53 Hawthorn St,2,h,903000.0,S,Nelson,15/10/2016,7.8,3058.0,2.0,1.0,1.0,253.0,94.0,1910.0,Moreland,-37.7484,144.9521,Northern Metropolitan,11204.0
Bentleigh,592 Centre Rd,3,h,1125000.0,S,hockingstuart,8/10/2016,13.0,3204.0,3.0,1.0,2.0,584.0,116.0,1948.0,Glen Eira,-37.9199,145.0477,Southern Metropolitan,6795.0
Bentleigh East,18 Patricia St,3,h,1020000.0,S,Nick,27/11/2016,13.9,3165.0,3.0,1.0,2.0,596.0,144.0,1960.0,Glen Eira,-37.9251,145.0771,Southern Metropolitan,10969.0
Ascot Vale,41 Monash St,3,h,1230000.0,S,Nelson,8/10/2016,5.9,3032.0,4.0,1.0,2.0,594.0,148.0,1960.0,Moonee Valley,-37.7819,144.9064,Western Metropolitan,6567.0
Armadale,791 High St,3,h,1800000.0,PI,RT,15/10/2016,6.3,3143.0,3.0,2.0,2.0,405.0,121.0,1910.0,Stonnington,-37.8545,145.0145,Southern Metropolitan,4836.0
Balwyn North,54 Sutton St,3,h,1818000.0,S,Fletchers,15/10/2016,9.2,3104.0,3.0,1.0,1.0,722.0,90.0,1930.0,Boroondara,-37.7956,145.0829,Southern Metropolitan,7809.0
Burwood,15 Loudon Rd,5,h,1590000.0,S,Jellis,3/09/2016,11.7,3125.0,4.0,3.0,2.0,661.0,253.0,1940.0,Whitehorse,-37.848,145.09799999999996,Southern Metropolitan,5678.0
Ashwood,4 Scenic Dr,4,h,1500000.0,S,Fletchers,6/08/2016,12.2,3147.0,2.0,2.0,2.0,621.0,203.0,2000.0,Monash,-37.8647,145.1023,Southern Metropolitan,2894.0
Ashwood,4/36 Queens Pde,2,u,600000.0,S,Noel,18/03/2017,12.2,3147.0,2.0,1.0,1.0,153.0,80.0,1970.0,Monash,-37.8696,145.0962,Southern Metropolitan,2894.0
Camberwell,13 Grace St,3,h,1622000.0,SP,Noel,12/11/2016,7.8,3124.0,3.0,1.0,1.0,544.0,160.0,1930.0,Boroondara,-37.8436,145.0581,Southern Metropolitan,8920.0
Bentleigh East,23 Yarraburn Cl,4,h,1100000.0,S,Hodges,14/05/2016,13.9,3165.0,4.0,2.0,1.0,274.0,190.0,2004.0,Glen Eira,-37.9257,145.0735,Southern Metropolitan,10969.0
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0
Balwyn North,12 Clifton St,4,h,1720000.0,PI,Marshall,18/03/2017,9.2,3104.0,4.0,3.0,2.0,869.0,170.0,1950.0,Boroondara,-37.8002,145.0999,Southern Metropolitan,7809.0
Coburg,12 Gordon St,4,h,865000.0,S,Brad,16/04/2016,7.8,3058.0,4.0,1.0,1.0,452.0,125.0,1925.0,Moreland,-37.7525,144.94799999999995,Northern Metropolitan,11204.0
Camberwell,49 Christowel St,5,h,2600000.0,VB,Marshall,3/12/2016,7.8,3124.0,5.0,4.0,1.0,708.0,348.0,1940.0,Boroondara,-37.8386,145.067,Southern Metropolitan,8920.0
Clifton Hill,413a Wellington St,2,h,1209000.0,S,Jellis,8/10/2016,3.4,3068.0,2.0,1.0,1.0,140.0,97.0,1910.0,Yarra,-37.7919,144.9884,Northern Metropolitan,2954.0
Brighton,686A Hampton St,4,t,2250000.0,SP,Marshall,27/11/2016,11.2,3186.0,4.0,2.0,2.0,230.0,281.0,2012.0,Bayside,-37.9237,145.0056,Southern Metropolitan,10579.0
Brighton,17 Rusden St,4,h,1500000.0,VB,Hodges,30/07/2016,11.2,3186.0,3.0,2.0,1.0,549.0,195.0,1990.0,Bayside,-37.8869,144.9982,Southern Metropolitan,10579.0
Box Hill,15 Davey St,3,h,948000.0,S,Ray,12/11/2016,13.1,3128.0,3.0,1.0,2.0,384.0,108.0,1950.0,Whitehorse,-37.8167,145.1373,Eastern Metropolitan,4605.0
Balwyn,40 Metung St,5,h,2800000.0,VB,Marshall,4/06/2016,9.7,3103.0,5.0,3.0,2.0,678.0,349.0,2001.0,Boroondara,-37.8048,145.0708,Southern Metropolitan,5682.0
Brighton East,2/5 Camperdown St,2,u,905000.0,S,Hodges,15/10/2016,10.7,3187.0,2.0,1.0,2.0,189.0,93.0,1980.0,Bayside,-37.9172,145.0072,Southern Metropolitan,6938.0
Carnegie,3/64 Woornack Rd,3,t,860000.0,S,Buxton,27/06/2016,11.4,3163.0,3.0,1.0,2.0,277.0,135.0,1978.0,Glen Eira,-37.8978,145.0624,Southern Metropolitan,7822.0
Brunswick,2/123 Brunswick Rd,3,t,640000.0,PI,Walshe,27/06/2016,5.2,3056.0,3.0,2.0,1.0,110.0,118.0,2000.0,Moreland,-37.7776,144.9691,Northern Metropolitan,11918.0
Balwyn,1/32 Yerrin St,3,t,1472000.0,S,Noel,16/07/2016,9.7,3103.0,3.0,2.0,2.0,306.0,170.0,1995.0,Boroondara,-37.8106,145.0848,Southern Metropolitan,5682.0
Brighton,86 Dendy St,5,h,3105000.0,S,Marshall,28/08/2016,11.2,3186.0,4.0,2.0,2.0,1045.0,304.0,1930.0,Bayside,-37.9205,145.0012,Southern Metropolitan,10579.0
Armadale,367 Dandenong Rd,6,h,5525000.0,S,Marshall,17/09/2016,6.3,3143.0,5.0,3.0,4.0,1491.0,516.0,1935.0,Stonnington,-37.8602,145.013,Southern Metropolitan,4836.0
Carnegie,6 Longstaff St,4,h,1501000.0,S,Gary,14/05/2016,11.4,3163.0,3.0,2.0,1.0,598.0,201.0,1970.0,Glen Eira,-37.9037,145.0588,Southern Metropolitan,7822.0
Coburg,23 Berry St,3,h,1278000.0,S,Peter,16/07/2016,7.8,3058.0,3.0,2.0,3.0,405.0,156.0,1930.0,Moreland,-37.7464,144.959,Northern Metropolitan,11204.0
Camberwell,2/25 Hazel St,2,u,900000.0,S,Jellis,17/09/2016,7.8,3124.0,2.0,1.0,1.0,150.0,88.0,1970.0,Boroondara,-37.8438,145.066,Southern Metropolitan,8920.0
Bentleigh East,11 Melball St,3,h,1266000.0,S,hockingstuart,24/09/2016,13.9,3165.0,3.0,1.0,3.0,676.0,146.0,1970.0,Glen Eira,-37.9307,145.0531,Southern Metropolitan,10969.0
Ashwood,1/16 Raymond St,3,t,900500.0,S,Jellis,27/11/2016,12.2,3147.0,3.0,2.0,2.0,256.0,134.0,2012.0,Monash,-37.8655,145.1096,Southern Metropolitan,2894.0
Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,4/02/2016,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301.0
Burwood,25 Greenwood St,4,h,1682000.0,S,Jellis,8/10/2016,11.7,3125.0,4.0,2.0,1.0,921.0,174.0,1950.0,Whitehorse,-37.8494,145.1291,Southern Metropolitan,5678.0
Camberwell,2 Thomas St,3,h,1690000.0,PI,hockingstuart,4/06/2016,7.8,3124.0,3.0,2.0,1.0,777.0,154.0,1950.0,Boroondara,-37.8431,145.0962,Southern Metropolitan,8920.0
Brunswick West,542 Albion St,5,h,1200000.0,PI,Jellis,22/08/2016,5.9,3055.0,5.0,2.0,3.0,553.0,193.0,1920.0,Moreland,-37.7576,144.9348,Northern Metropolitan,7082.0
Coburg,33 Wellington St,3,h,860000.0,S,Peter,4/06/2016,7.8,3058.0,3.0,1.0,1.0,283.0,109.0,1915.0,Moreland,-37.7416,144.9582,Northern Metropolitan,11204.0
Carnegie,1/3 Coorigil Rd,3,h,1360000.0,S,Woodards,19/11/2016,11.4,3163.0,3.0,2.0,2.0,282.0,182.0,2010.0,Glen Eira,-37.8953,145.0567,Southern Metropolitan,7822.0
Brighton,3A Huntingfield Rd,3,h,2900000.0,S,Nick,27/11/2016,11.2,3186.0,3.0,1.0,1.0,659.0,161.0,1942.0,Bayside,-37.919,144.9953,Southern Metropolitan,10579.0
Box Hill,19 Kent Rd,3,h,928000.0,S,Lindellas,18/06/2016,13.1,3128.0,3.0,1.0,1.0,307.0,106.0,1890.0,Whitehorse,-37.8247,145.1206,Eastern Metropolitan,4605.0
Brighton,95 Cochrane St,4,h,3295888.0,S,Hodges,15/10/2016,11.2,3186.0,4.0,3.0,2.0,565.0,337.0,1990.0,Bayside,-37.8975,144.9991,Southern Metropolitan,10579.0
Balwyn North,3 Dumblane St,5,h,3300000.0,PI,hockingstuart,3/12/2016,9.2,3104.0,5.0,4.0,2.0,760.0,477.0,2015.0,Boroondara,-37.7907,145.0907,Southern Metropolitan,7809.0
Brunswick West,12 Hamilton St,2,h,820000.0,S,Jellis,26/07/2016,5.9,3055.0,3.0,1.0,1.0,206.0,98.0,1900.0,Moreland,-37.7604,144.9488,Northern Metropolitan,7082.0
Bulleen,71 Summit Dr,4,h,1000000.0,VB,hockingstuart,16/04/2016,11.8,3105.0,4.0,2.0,3.0,672.0,212.0,1970.0,Manningham,-37.7689,145.0895,Eastern Metropolitan,4480.0
Coburg,4/44 Victoria St,2,u,653000.0,SP,Peter,10/09/2016,7.8,3058.0,2.0,1.0,1.0,129.0,107.0,2012.0,Moreland,-37.7422,144.9606,Northern Metropolitan,11204.0
Burwood,30 Station St,3,h,1755000.0,S,Buxton,4/02/2016,11.7,3125.0,3.0,1.0,1.0,931.0,145.0,1970.0,Whitehorse,-37.854,145.1195,Southern Metropolitan,5678.0
Coburg,203 Munro St,4,h,1400000.0,S,RE,18/06/2016,7.8,3058.0,4.0,1.0,1.0,856.0,189.0,1970.0,Moreland,-37.7432,144.9481,Northern Metropolitan,11204.0
Balwyn,2/16 Westminster St,2,t,1255000.0,S,Noel,3/09/2016,9.7,3103.0,2.0,1.0,1.0,208.0,129.0,2000.0,Boroondara,-37.8128,145.0975,Southern Metropolitan,5682.0
Bentleigh East,2/5 Connie St,3,u,870000.0,S,Woodards,24/09/2016,13.9,3165.0,3.0,2.0,2.0,365.0,150.0,2011.0,Glen Eira,-37.9225,145.0754,Southern Metropolitan,10969.0
Brighton East,133A Centre Rd,4,h,1310000.0,PI,hockingstuart,3/12/2016,10.7,3187.0,4.0,3.0,2.0,618.0,213.0,2008.0,Bayside,-37.9162,145.0219,Southern Metropolitan,6938.0
Brighton East,4 Marriage Rd,4,h,1850000.0,S,Nick,3/09/2016,10.7,3187.0,4.0,2.0,2.0,617.0,268.0,1940.0,Bayside,-37.9187,145.007,Southern Metropolitan,6938.0
Brunswick,25 Gray St,4,h,1755000.0,S,Jellis,28/08/2016,5.2,3056.0,4.0,2.0,1.0,354.0,199.0,1910.0,Moreland,-37.7745,144.9523,Northern Metropolitan,11918.0
Brunswick,175 Edward St,3,h,1261000.0,S,Nelson,16/04/2016,5.2,3056.0,2.0,1.0,1.0,216.0,100.0,1910.0,Moreland,-37.7746,144.9697,Northern Metropolitan,11918.0
Carlton North,1018 Drummond St,4,h,2520000.0,S,Nelson,16/04/2016,3.2,3054.0,4.0,2.0,2.0,504.0,168.0,1890.0,Yarra,-37.7805,144.9721,Northern Metropolitan,3106.0
Ashwood,35 Douglas St,3,h,1365000.0,S,Fletchers,10/09/2016,12.2,3147.0,3.0,1.0,1.0,792.0,792.0,1950.0,Monash,-37.864,145.0972,Southern Metropolitan,2894.0
Bentleigh East,2/119 Marlborough St,2,u,655000.0,S,hockingstuart,18/06/2016,13.9,3165.0,2.0,1.0,1.0,154.0,80.0,2000.0,Glen Eira,-37.9079,145.0685,Southern Metropolitan,10969.0
Brunswick,69 Glenlyon Rd,3,h,1210000.0,S,Nelson,28/08/2016,5.2,3056.0,3.0,2.0,1.0,280.0,130.0,1890.0,Moreland,-37.7719,144.9661,Northern Metropolitan,11918.0
Bentleigh East,1/6 Richard St,2,u,651000.0,S,Gary,7/05/2016,13.9,3165.0,2.0,1.0,1.0,265.0,150.0,1960.0,Glen Eira,-37.9223,145.0747,Southern Metropolitan,10969.0
Ascot Vale,98 Epsom Rd,3,h,971000.0,SP,Nelson,4/06/2016,5.9,3032.0,3.0,2.0,2.0,285.0,128.0,1900.0,Moonee Valley,-37.775,144.9091,Western Metropolitan,6567.0
Brighton,1/119 Roslyn St,3,t,1725000.0,PI,Buxton,4/03/2017,11.2,3186.0,3.0,2.0,2.0,411.0,225.0,1997.0,Bayside,-37.918,145.0035,Southern Metropolitan,10579.0
Bentleigh,33 Luckins Rd,3,h,1328000.0,S,Woodards,15/10/2016,13.0,3204.0,3.0,2.0,2.0,690.0,245.0,1970.0,Glen Eira,-37.9317,145.0469,Southern Metropolitan,6795.0
Balwyn,17 Knutsford St,3,h,3401000.0,S,Jellis,27/11/2016,9.7,3103.0,3.0,2.0,1.0,706.0,166.0,1930.0,Boroondara,-37.8161,145.0748,Southern Metropolitan,5682.0
Bentleigh East,2/41 Elizabeth St,3,t,860000.0,VB,Buxton,12/11/2016,13.9,3165.0,3.0,2.0,1.0,254.0,117.0,1995.0,Glen Eira,-37.9227,145.0558,Southern Metropolitan,10969.0
Brunswick West,53 Heller St,4,h,1150000.0,VB,Nelson,28/05/2016,5.9,3055.0,4.0,1.0,2.0,519.0,169.0,1910.0,Moreland,-37.7747,144.9474,Northern Metropolitan,7082.0
Bentleigh,8 Rose St,4,h,2435000.0,S,Buxton,6/08/2016,13.0,3204.0,3.0,2.0,2.0,795.0,250.0,1928.0,Glen Eira,-37.9166,145.0314,Southern Metropolitan,6795.0
Bulleen,38 Balwyn Rd,3,h,905000.0,S,Barry,10/12/2016,11.8,3105.0,3.0,3.0,2.0,401.0,165.0,1965.0,Manningham,-37.7733,145.0901,Eastern Metropolitan,4480.0
Balwyn North,14 Dumblane St,5,h,1750000.0,PI,RW,15/10/2016,9.2,3104.0,5.0,2.0,2.0,710.0,170.0,1955.0,Boroondara,-37.7907,145.0916,Southern Metropolitan,7809.0
Brunswick,14 Murdock St,3,h,976000.0,S,Jellis,14/05/2016,5.2,3056.0,3.0,2.0,1.0,240.0,162.0,2005.0,Moreland,-37.756,144.9587,Northern Metropolitan,11918.0
Bentleigh East,12 Millard St,4,h,1115000.0,SP,Buxton,19/11/2016,13.9,3165.0,4.0,2.0,2.0,575.0,160.0,1960.0,Glen Eira,-37.9274,145.0654,Southern Metropolitan,10969.0
Bentleigh East,19 Denver St,5,h,1275000.0,SP,Buxton,3/12/2016,13.9,3165.0,5.0,2.0,2.0,683.0,190.0,1960.0,Glen Eira,-37.9333,145.0602,Southern Metropolitan,10969.0
Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0
Bentleigh East,13 Claronga St,3,h,885000.0,S,C21,4/06/2016,13.9,3165.0,3.0,1.0,2.0,565.0,110.0,1950.0,Glen Eira,-37.9262,145.0808,Southern Metropolitan,10969.0
Balwyn North,2 Tudor Ct,7,h,2600000.0,PI,Barry,14/05/2016,9.2,3104.0,5.0,3.0,3.0,637.0,529.0,2008.0,Boroondara,-37.7898,145.0967,Southern Metropolitan,7809.0
Balwyn,262 Union Rd,4,h,3290000.0,S,Jellis,22/05/2016,9.7,3103.0,4.0,3.0,2.0,1007.0,350.0,1910.0,Boroondara,-37.8135,145.0995,Southern Metropolitan,5682.0
Carnegie,5/33 Gnarwyn Rd,2,u,632500.0,S,Buxton,28/05/2016,11.4,3163.0,2.0,1.0,1.0,99.0,98.0,1965.0,Glen Eira,-37.8946,145.0588,Southern Metropolitan,7822.0
Carnegie,4 Vine Gr,4,h,1830000.0,S,Gary,10/09/2016,11.4,3163.0,3.0,2.0,2.0,687.0,237.0,1983.0,Glen Eira,-37.8931,145.0479,Southern Metropolitan,7822.0
Ascot Vale,4 The Parade,2,h,950000.0,SP,Raine,7/05/2016,5.9,3032.0,2.0,1.0,1.0,173.0,102.0,1900.0,Moonee Valley,-37.7731,144.9206,Western Metropolitan,6567.0
Brighton East,1 Alexander St,3,h,1301000.0,SP,Buxton,12/11/2016,10.7,3187.0,3.0,2.0,2.0,401.0,121.0,1926.0,Bayside,-37.9062,145.0173,Southern Metropolitan,6938.0
Clifton Hill,85 Roseneath St,2,h,1105000.0,S,Harrington,8/10/2016,3.4,3068.0,2.0,1.0,1.0,185.0,84.0,1910.0,Yarra,-37.7927,144.9981,Northern Metropolitan,2954.0
Brunswick,32 Lobb St,3,t,820000.0,SP,Jellis,25/02/2017,5.2,3056.0,3.0,2.0,2.0,4668.0,126.0,2011.0,Moreland,-37.7687,144.9649,Northern Metropolitan,11918.0
Burwood,18 Brockhoff Dr,4,h,1250000.0,SA,Barry,24/09/2016,11.7,3125.0,4.0,2.0,2.0,499.0,220.0,2005.0,Monash,-37.8593,145.1101,Southern Metropolitan,5678.0
